STREET NAME,CLOSURE TYPE,SUB TYPE,START DATE,END DATE,DESCRIPTION,FROM STREET,TO STREET,SEVERITY,DIRECTION,RECURRING,FULL CLOSURE,ALTERNATIVE ROUTE,AGENCY,CITY,SIDEWALK CLOSED,CONTACT INFORMATION,PERMIT ID,INCIDENT ID,INCIDENT NAME,GEOMETRY
Alphonse-Forbes Rd Bridge,BRIDGE,ROAD_CLOSED_CONSTRUCTION,02/12/2016 06:00:00 AM +0000,01/20/2025 06:00:00 AM +0000,Alphonse Forbes Rd between Liberty Rd and Greenwell Springs Rd,Alphonse-Forbes Rd Bridge,N/A,,,,Bridge,Greenwell Springs Rd to Liberty Rd,DPW,Baton Rouge,No,Telephone inquiries may be directed to the bridge engineer 225-389-3186,N/A,N/A,N/A,"MULTILINESTRING ((-90.981908507914 30.62149645754, -90.981918704114 30.621470028858, -90.981929971349 30.621443927748, -90.981955661099 30.621392837077, -90.982047013387 30.621195019014, -90.982145004982 30.6209895548, -90.982167590589 30.620951406344))"
Port Hickey,BRIDGE,ROAD_CLOSED_CONSTRUCTION,01/01/2020 06:00:00 AM +0000,09/01/2024 05:00:00 AM +0000,Bridge Closed,Scenic,Scenic,MINOR,BOTH,Daily,Full,,DPW,Baton Rouge,No,Engineering - Bridges,,,,"MULTILINESTRING ((-91.288565219459 30.659912253789, -91.288173667187 30.659645419855, -91.288126470859 30.659612061616, -91.288101866365 30.659596498843, -91.288076633401 30.65958170888, -91.288050803263 30.659567708875, -91.288024410372 30.659554517781, -91.28799748811 30.659542152748, -91.287970069857 30.65953062822, -91.287942193168 30.659519960445, -91.287913891424 30.659510162965, -91.287885202182 30.659501247518, -91.287856161955 30.659493226746, -91.287826808299 30.65948610968, -91.287797178771 30.659479905354, -91.28776731093 30.659474623703, -91.287737243376 30.659470269249, -91.287707014713 30.659466848321, -91.287676664585 30.659464366344, -91.287646230553 30.659462825134, -91.287615751222 30.65946222651, -91.287585268324 30.659462573191, -91.287554818379 30.659463862484, -91.287524441034 30.659466094403, -91.287494175941 30.659469264451, -91.287464061705 30.659473369936, -91.287434136932 30.659478405459, -91.287404440233 30.659484363817, -91.28737500917 30.659491237808, -91.283939256767 30.660009959637, -91.283718516759 30.660044419923))"
Old Baker Rd (Twin Oaks Dr) Bridge,BRIDGE,ROAD_CLOSED_CONSTRUCTION,11/30/2015 02:00:00 PM +0000,02/28/2025 06:00:00 AM +0000,Old Baker Rd between Scotland-Zachary Hwy (LA 19) and Heck Young Rd,Old Baker Road (Twin Oaks Dr) Bridge,N/A,,,,Bridge,Scotlandville-Zachary Hwy (LA 19) to New Weis Rd,DPW,Baton Rouge,No,Any questions can be forwarded to the Engineering Division Bridge Engineer at 225-389-3186,N/A,N/A,N/A,"MULTILINESTRING ((-91.167567726956 30.612202063918, -91.167566795554 30.611361591097, -91.167566132469 30.610762882166, -91.167565540242 30.610228435848, -91.16756474101 30.60950786632, -91.167565387115 30.609120935377, -91.167566287017 30.60858162957, -91.167565085265 30.607688334076, -91.167566672811 30.60673911117, -91.167571160859 30.605547694412, -91.167558936553 30.604928098555, -91.167558926177 30.604926820359, -91.167562934663 30.602279399939, -91.16756300247 30.60223449128, -91.167562994515 30.60223363614, -91.167547663637 30.601164238232, -91.167547302185 30.601139064663, -91.167536693222 30.601081538476, -91.167529644756 30.601053051477, -91.167521445721 30.601024796664, -91.167512105444 30.600996808327, -91.167501635339 30.600969120756, -91.167490047866 30.600941767343, -91.167477358607 30.600914783286, -91.167463583153 30.600888200176, -91.167448737088 30.600862052308, -91.16743283913 30.600836371278, -91.167415910084 30.60081118778, -91.167397969708 30.600786534312, -91.167379039852 30.600762440669, -91.167359144451 30.600738935744, -91.167338308481 30.600716050238, -91.167316555882 30.60069381034, -91.167293914762 30.600672244949, -91.16727041323 30.60065138026, -91.167246080443 30.600631241565, -91.167220944514 30.600611853255, -91.167195037727 30.600593240625, -91.167168392371 30.600575425367, -91.167141040735 30.600558430069, -91.167113016152 30.600542275521, -91.167084354042 30.600526981612, -91.167055088785 30.600512567326, -91.167025256849 30.600499049848, -91.166108131721 30.600417082725, -91.165744359059 30.600384570045))"
Victoria Dr Bridge,BRIDGE,ROAD_CLOSED_CONSTRUCTION,08/22/2016 08:30:00 PM +0000,01/01/2035 10:00:00 PM +0000,over canal,Prescott Rd,Merrydale Rd,,,,Bridge,Use Airline Hwy for Alternate Route,DPW,Baton Rouge,No,Drainage Maintenance - North,N/A,N/A,N/A,"MULTILINESTRING ((-91.11794888473 30.488674165312, -91.117908327036 30.487544611351))"
Government,CONSTRUCTION,ROAD_CLOSED_CONSTRUCTION,02/12/2024 01:00:00 PM +0000,02/15/2024 01:00:00 AM +0000,Sewer Repair,Marquette Ave,Apartment Court Dr,MINOR,EAST,,Partial,,DPW,Baton Rouge,Yes,Allen & LeBlanc,,,,"MULTILINESTRING ((-91.124450942806 30.444913061637, -91.123748545842 30.444933302632))"
Fairway Dr,CONSTRUCTION,ROAD_CLOSED_CONSTRUCTION,11/27/2023 01:00:00 PM +0000,04/05/2024 10:00:00 PM +0000,Sewer Repair,Fairway Dr,Jefferson Hwy,MINOR,BOTH,,Full,,DPW,Baton Rouge,Yes,"NCMC, LLC",,,,"MULTILINESTRING ((-91.093487122685 30.419209295917, -91.093543699644 30.419112999655, -91.093690054295 30.419192382595))"
Bluebonnet Blvd,CONSTRUCTION,ROAD_CLOSED_CONSTRUCTION,12/04/2023 02:30:00 PM +0000,03/01/2024 09:30:00 PM +0000,Turnlane Extension,,Jefferson hwy,MAJOR,,,Partial,,DPW,Baton Rouge,Yes,Boone Services LLC,,,,"MULTILINESTRING ((-91.078599879513 30.411272177845, -91.078416958437 30.411679467906))"
Bluebonnet Blvd,CONSTRUCTION,HAZARD_ON_ROAD_CONSTRUCTION,12/11/2023 02:30:00 PM +0000,03/01/2024 09:30:00 PM +0000,Turning Lane Extension,800' N jefferson Hwy,,MAJOR,SOUTH,,Partial,,DPW,Baton Rouge,Yes,Boone Services LLC,,,,"MULTILINESTRING ((-91.078429120081 30.411205423332, -91.078582707662 30.410875701519, -91.079424228229 30.409069082536, -91.080412008051 30.406919370808))"
France St,CONSTRUCTION,ROAD_CLOSED_CONSTRUCTION,01/29/2024 01:00:00 PM +0000,02/03/2025 01:00:00 PM +0000,Hotel Renovation,St Phillip St,St James St,MAJOR,ALL,Daily,Full,,DPW,Baton Rouge,Yes,David Montenegro,,,,"MULTILINESTRING ((-91.188461359874 30.442794311239, -91.189451993211 30.442773471267))"
Drusilla,CONSTRUCTION,ROAD_CLOSED_CONSTRUCTION,01/29/2024 12:30:00 PM +0000,02/27/2024 12:00:00 AM +0000,Removel and replacement of roadway,,,MAJOR,SOUTH,Daily,Full,,DPW,Baton Rouge,Yes,Mark Gardner 318-359-7466,,,,"MULTILINESTRING ((-91.089893817519 30.417201627159, -91.089681876928 30.417581982876, -91.089707243287 30.417575317183))"
