TSI NO,MAINTAINED BY,PRIMARY STREET NAME,SECONDARY STREET NAME,SIGNAL TYPE,PEDESTRIAN SIGNAL,GEOLOCATION
S-384,STATE,HIGHLAND RD,I-10,SIGNAL,NO,POINT (-91.028627587162 30.346894162281)
S-203,CITY-PARISH,ESSEN LN,I-10,SIGNAL,NO,POINT (-91.102051607966 30.407829300722)
S-024,CITY-PARISH,GREENWELL SPRINGS RD,MONTERREY DR,SIGNAL,NO,POINT (-91.083779197965 30.485148447438)
C-104,CITY-PARISH,MAIN ST,4TH ST,SIGNAL,YES,POINT (-91.187162712495 30.451460325766)
S-193,CITY-PARISH,HARDING BLVD,I-110 / VETERAN'S MEMORIAL BLVD,SIGNAL,NO,POINT (-91.160832037077 30.521352320588)
S-081,CITY-PARISH,PERKINS RD,SIEGEN LN,SIGNAL,NO,POINT (-91.07448490455 30.368234778118)
S-094,CITY-PARISH,NORTH ST,22ND ST,SIGNAL,NO,POINT (-91.166096133258 30.453152369443)
C-108,CITY-PARISH,MAIN ST,19TH ST,SIGNAL,NO,POINT (-91.169406120244 30.4519824345)
C-085,CITY-PARISH,HIGHLAND RD,STARING LN,SIGNAL,YES,POINT (-91.122979233891 30.368934876161)
C-092,CITY-PARISH,JOOR RD,CORE LN,SIGNAL,NO,POINT (-91.047618295174 30.576179808014)
C-219,CITY-PARISH,BLUEBONNET BLVD,OLIPHANT RD,SIGNAL,YES,POINT (-91.081373652794 30.404821100189)
C-209,CITY-PARISH,LEE DR,BOONE DR,SIGNAL,NO,POINT (-91.155674994081 30.398370239853)
C-206,CITY-PARISH,SHARP LN,W TAMS DR,BEACON,NO,POINT (-91.072215894969 30.467337745493)
S-049,CITY-PARISH,SCENIC HWY,72ND AVE / MENGEL RD,SIGNAL,YES,POINT (-91.175327454068 30.513997946689)
S-105,CITY-PARISH,PLANK RD,SAINT GERARD AVE,SIGNAL,YES,POINT (-91.153916663244 30.497300568084)
C-075,CITY-PARISH,HIGHLAND RD,DALRYMPLE DR,SIGNAL,YES,POINT (-91.176394297233 30.415832087391)
S-126,CITY-PARISH,CHIPPEWA ST,SORREL AVE,SIGNAL,NO,POINT (-91.181094156861 30.472705839342)
C-129,CITY-PARISH,NORTH ST,LAFAYETTE ST,SIGNAL,YES,POINT (-91.189591136399 30.452451298394)
S-194,CITY-PARISH,SCENIC HWY,MILLS AVE,SIGNAL,NO,POINT (-91.186481135934 30.532935785094)
C-229,CITY-PARISH,COURSEY BLVD,MARKET ST,SIGNAL,NO,POINT (-91.019239139407 30.408211395696)
C-138,CITY-PARISH,SHARP RD,MOLLYLEA DR,SIGNAL,NO,POINT (-91.071543741669 30.452599261498)
S-033,CITY-PARISH,WYANDOTTE ST,I-110,BEACON,NO,POINT (-91.166415826713 30.481734261323)
S-348,CITY-PARISH,OLD HAMMOND HWY,ELWICK DR,BEACON,NO,POINT (-91.040120062267 30.442115929193)
,STATE,JEFFERSON HWY,AIRLINE HWY SERVICE RD,SIGNAL,NO,POINT (-91.065650166062 30.40811985111)
C-033,CITY-PARISH,CONVENTION ST,11TH ST,BEACON,NO,POINT (-91.178633763493 30.448546735831)
S-268,CITY-PARISH,GREENWELL SPRINGS RD,PLATT DR,SIGNAL,NO,POINT (-91.076176057042 30.488598771024)
C-131,CITY-PARISH,NORTH ST,TURNER PLAZA,SIGNAL,YES,POINT (-91.142755619265 30.453834073373)
S-166,CITY-PARISH,FLORIDA ST,EUGENE ST,SIGNAL,NO,POINT (-91.160933084443 30.450129529841)
S-217,CITY-PARISH,AIRLINE HWY,DAWNADELE AVE,SIGNAL,NO,POINT (-91.071911055885 30.41921544767)
C-192,CITY-PARISH,MONTERREY DR,MAMMOTH AVE,SIGNAL,NO,POINT (-91.083779784176 30.473955445865)
C-278,CITY-PARISH,GOVERNMENT ST,21ST ST / CAMELIA AVE,SIGNAL,YES,POINT (-91.16684405168 30.443865773651)
C-123,CITY-PARISH,NORTH ST,5TH ST,SIGNAL,YES,POINT (-91.185954200189 30.45256279059)
C-199,CITY-PARISH,SOUTH BLVD,EAST BLVD,SIGNAL,NO,POINT (-91.180152978151 30.439747100807)
S-134,CITY-PARISH,MAIN ST,9TH ST,SIGNAL,NO,POINT (-91.18100288114 30.45164683973)
S-228,CITY-PARISH,NICHOLSON DR,ROOSEVELT ST,SIGNAL,YES,POINT (-91.187620080722 30.421593717411)
C-271,CITY-PARISH,GOVERNMENT ST,SAINT PHILLIP ST,SIGNAL,YES,POINT (-91.188481943528 30.443300445883)
S-034,CITY-PARISH,GOVERNMENT ST,I-110,SIGNAL,NO,POINT (-91.178810639612 30.443514373543)
S-130,CITY-PARISH,AIRLINE HWY,OLD HAMMOND HWY,SIGNAL,NO,POINT (-91.080629315729 30.431669044704)
C-224,CITY-PARISH,GROOM RD,WALMART,SIGNAL,NO,POINT (-91.128582054357 30.58106124826)
S-112,CITY-PARISH,SCENIC HWY,SCOTLAND AVE,SIGNAL,NO,POINT (-91.180997341112 30.523705389729)
C-239,CITY-PARISH,GREENWELL SPRINGS RD,CAPITOL MIDDLE,SIGNAL,YES,POINT (-91.137178734979 30.463646727175)
S-222,CITY-PARISH,LA 19,I-110,SIGNAL,NO,POINT (-91.178373896657 30.535599638046)
S-135,CITY-PARISH,MAIN ST,10TH ST,SIGNAL,NO,POINT (-91.179887350206 30.451676045872)
C-205,CITY-PARISH,JOOR RD,DENHAM RD,SIGNAL,NO,POINT (-91.046242489785 30.582388620539)
C-127,CITY-PARISH,NORTH ST,39TH ST,SIGNAL,YES,POINT (-91.151021261075 30.453574521571)
S-073,CITY-PARISH,GOVERNMENT ST,FOSTER DR,SIGNAL,YES,POINT (-91.138527210731 30.444542902286)
S-107,CITY-PARISH,PLANK RD,JH COONEY DR,SIGNAL,NO,POINT (-91.151766927658 30.503502540486)
S-104,CITY-PARISH,PLANK RD,LORRAINE ST,SIGNAL,NO,POINT (-91.154137783364 30.496696233503)
S-252,CITY-PARISH,ESSEN LN,PICARDY AVE,SIGNAL,NO,POINT (-91.107449328604 30.398561286225)
C-202,CITY-PARISH,CHOCTAW DR,OAK VILLA BLVD,SIGNAL,NO,POINT (-91.089047385408 30.471610054431)
S-177,CITY-PARISH,SCENIC HWY,BLOUNT RD,SIGNAL,NO,POINT (-91.190832879422 30.540616602269)
S-071,CITY-PARISH,ACADIAN THWY,GOVERNMENT ST,SIGNAL,YES,POINT (-91.154297541994 30.44416777303)
C-198,CITY-PARISH,HARRELL'S FERRY RD,MILLERVILLE RD,SIGNAL,YES,POINT (-91.02443161892 30.429896445159)
S-052,CITY-PARISH,AIRLINE HWY,GREENWELL ST,SIGNAL,NO,POINT (-91.131351292337 30.502381496547)
S-025,CITY-PARISH,OLD HAMMOND HWY,CEDARCREST AVE / SHARP RD,SIGNAL,YES,POINT (-91.066214069943 30.434529833169)
C-083,CITY-PARISH,HIGHLAND RD,SOUTH BLVD / SAINT FERDINAND ST,SIGNAL,YES,POINT (-91.1863851948 30.43958284595)
C-204,CITY-PARISH,HARRELL'S FERRY RD,JONES CREEK RD,SIGNAL,NO,POINT (-91.01426934626 30.426909282876)
S-055,CITY-PARISH,AIRLINE HWY,WINBOURNE AVE / MARIBEL DR,SIGNAL,NO,POINT (-91.115219752178 30.480129711696)
S-148,CITY-PARISH,PLANK RD,HARDING BLVD,SIGNAL,NO,POINT (-91.145434615157 30.521679773398)
S-069,CITY-PARISH,GOVERNMENT ST,EUGENE ST,SIGNAL,YES,POINT (-91.160016686139 30.444032722312)
C-207,CITY-PARISH,JONES CREEK RD,FERRELL AVE,SIGNAL,YES,POINT (-91.016730201261 30.402692742745)
S-307,STATE,HIGHLAND RD,PERKINS RD E,SIGNAL,NO,POINT (-91.027573656804 30.347940243667)
C-213,CITY-PARISH,FOSTER DR,NORTH BLVD,SIGNAL,YES,POINT (-91.138944112166 30.448695193896)
S-103,CITY-PARISH,PLANK RD,EVANGELINE ST,SIGNAL,NO,POINT (-91.155575602187 30.492699400055)
S-260,CITY-PARISH,GOVERNMENT ST,COMMUNITY COLLEGE DR,SIGNAL,YES,POINT (-91.135799528036 30.44459980625)
S-003,STATE,MAIN ST,LANE MEM HOSPITAL,BEACON,NO,POINT (-91.136545697741 30.650027514032)
C-253,CITY-PARISH,CENTRAL THWY,FRENCHTOWN RD,SIGNAL,NO,POINT (-91.022005960266 30.50077700279)
C-142,CITY-PARISH,SHERWOOD FOREST BLVD,NEWCASTLE AVE,SIGNAL,NO,POINT (-91.05150207712 30.420288528354)
S-167,CITY-PARISH,FLORIDA ST,22ND ST,SIGNAL,NO,POINT (-91.165939425932 30.44998375406)
S-113,CITY-PARISH,NORTH ST,9TH ST,SIGNAL,YES,POINT (-91.181151481344 30.45269709622)
C-292,CITY-PARISH,OLD HAMMOND HWY,DRUSILLA LN,SIGNAL,NO,POINT (-91.084023566735 30.431045425772)
S-204,CITY-PARISH,HIGHLAND RD,GARDERE LN,SIGNAL,NO,POINT (-91.119378978875 30.366161429487)
S-092,CITY-PARISH,NORTH BLVD,22ND ST,SIGNAL,YES,POINT (-91.165932567631 30.447860828047)
C-136,CITY-PARISH,PERKINS RD,TERRACE ST,BEACON,NO,POINT (-91.167677069421 30.436661645035)
C-151,CITY-PARISH,THOMAS DELPIT DR,LOUISE ST,SIGNAL,NO,POINT (-91.178779610282 30.434247766764)
S-108,CITY-PARISH,PLANK RD,DAWSON DR / MASON AVE,SIGNAL,NO,POINT (-91.150605711683 30.506793822044)
S-074,CITY-PARISH,GOVERNMENT ST,JEFFERSON HWY,SIGNAL,YES,POINT (-91.130667033116 30.444698636792)
C-236,CITY-PARISH,GOVERNMENT ST,SAINT JAMES ST,SIGNAL,YES,POINT (-91.189470387587 30.443267141135)
C-089,CITY-PARISH,HIGHLAND RD,WASHINGTON ST,SIGNAL,YES,POINT (-91.182697483881 30.430954228304)
S-244,CITY-PARISH,OLD HAMMOND HWY,MILLERVILLE RD,SIGNAL,YES,POINT (-91.024557046217 30.45169437217)
